pop,sample,super_pop,gender,population_name
CHB,NA18632,EAS,male,han_chinese
CHB,NA18525,EAS,female,han_chinese
CHB,NA18526,EAS,female,han_chinese
CHB,NA18528,EAS,female,han_chinese
CHB,NA18530,EAS,male,han_chinese
CHB,NA18531,EAS,female,han_chinese
CHB,NA18532,EAS,female,han_chinese
CHB,NA18533,EAS,female,han_chinese
CHB,NA18534,EAS,male,han_chinese
CHB,NA18535,EAS,female,han_chinese
CHB,NA18536,EAS,male,han_chinese
CHB,NA18537,EAS,female,han_chinese
CHB,NA18599,EAS,female,han_chinese
CHB,NA18539,EAS,female,han_chinese
CHB,NA18541,EAS,female,han_chinese
CHB,NA18542,EAS,female,han_chinese
CHB,NA18543,EAS,male,han_chinese
CHB,NA18544,EAS,male,han_chinese
CHB,NA18545,EAS,female,han_chinese
CHB,NA18546,EAS,male,han_chinese
CHB,NA18547,EAS,female,han_chinese
CHB,NA18548,EAS,male,han_chinese
CHB,NA18549,EAS,male,han_chinese
CHB,NA18550,EAS,female,han_chinese
CHB,NA18552,EAS,female,han_chinese
CHB,NA18553,EAS,female,han_chinese
CHB,NA18555,EAS,female,han_chinese
CHB,NA18557,EAS,male,han_chinese
CHB,NA18558,EAS,male,han_chinese
CHB,NA18559,EAS,male,han_chinese
CHB,NA18560,EAS,female,han_chinese
CHB,NA18561,EAS,male,han_chinese
CHB,NA18562,EAS,male,han_chinese
CHB,NA18563,EAS,male,han_chinese
CHB,NA18564,EAS,female,han_chinese
CHB,NA18565,EAS,female,han_chinese
CHB,NA18566,EAS,female,han_chinese
CHB,NA18567,EAS,female,han_chinese
CHB,NA18570,EAS,female,han_chinese
CHB,NA18571,EAS,female,han_chinese
CHB,NA18572,EAS,male,han_chinese
CHB,NA18573,EAS,female,han_chinese
CHB,NA18574,EAS,female,han_chinese
CHB,NA18577,EAS,female,han_chinese
CHB,NA18579,EAS,female,han_chinese
CHB,NA18582,EAS,female,han_chinese
CHB,NA18591,EAS,female,han_chinese
CHB,NA18592,EAS,female,han_chinese
CHB,NA18593,EAS,female,han_chinese
CHB,NA18595,EAS,female,han_chinese
CHB,NA18596,EAS,female,han_chinese
CHB,NA18597,EAS,female,han_chinese
CHB,NA18616,EAS,female,han_chinese
CHB,NA18602,EAS,female,han_chinese
CHB,NA18603,EAS,male,han_chinese
CHB,NA18605,EAS,male,han_chinese
CHB,NA18606,EAS,male,han_chinese
CHB,NA18608,EAS,male,han_chinese
CHB,NA18609,EAS,male,han_chinese
CHB,NA18610,EAS,female,han_chinese
CHB,NA18611,EAS,male,han_chinese
CHB,NA18612,EAS,male,han_chinese
CHB,NA18613,EAS,male,han_chinese
CHB,NA18614,EAS,female,han_chinese
CHB,NA18615,EAS,female,han_chinese
CHB,NA18620,EAS,male,han_chinese
CHB,NA18617,EAS,female,han_chinese
CHB,NA18618,EAS,female,han_chinese
CHB,NA18619,EAS,female,han_chinese
